"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\USUARIO\OneDrive\Escritorio\Semestre 7\Movil\mediscan_app\lib\main.dart", "Dart", 57, 54, 12, 123
"Total", "-", 57, 54, 12, 123
